Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
25531,,Spain,2020/1/22,0,0
25532,,Spain,2020/1/23,0,0
25533,,Spain,2020/1/24,0,0
25534,,Spain,2020/1/25,0,0
25535,,Spain,2020/1/26,0,0
25536,,Spain,2020/1/27,0,0
25537,,Spain,2020/1/28,0,0
25538,,Spain,2020/1/29,0,0
25539,,Spain,2020/1/30,0,0
25540,,Spain,2020/1/31,0,0
25541,,Spain,2020/2/1,1,0
25542,,Spain,2020/2/2,1,0
25543,,Spain,2020/2/3,1,0
25544,,Spain,2020/2/4,1,0
25545,,Spain,2020/2/5,1,0
25546,,Spain,2020/2/6,1,0
25547,,Spain,2020/2/7,1,0
25548,,Spain,2020/2/8,1,0
25549,,Spain,2020/2/9,2,0
25550,,Spain,2020/2/10,2,0
25551,,Spain,2020/2/11,2,0
25552,,Spain,2020/2/12,2,0
25553,,Spain,2020/2/13,2,0
25554,,Spain,2020/2/14,2,0
25555,,Spain,2020/2/15,2,0
25556,,Spain,2020/2/16,2,0
25557,,Spain,2020/2/17,2,0
25558,,Spain,2020/2/18,2,0
25559,,Spain,2020/2/19,2,0
25560,,Spain,2020/2/20,2,0
25561,,Spain,2020/2/21,2,0
25562,,Spain,2020/2/22,2,0
25563,,Spain,2020/2/23,2,0
25564,,Spain,2020/2/24,2,0
25565,,Spain,2020/2/25,6,0
25566,,Spain,2020/2/26,13,0
25567,,Spain,2020/2/27,15,0
25568,,Spain,2020/2/28,32,0
25569,,Spain,2020/2/29,45,0
25570,,Spain,2020/3/1,84,0
25571,,Spain,2020/3/2,120,0
25572,,Spain,2020/3/3,165,1
25573,,Spain,2020/3/4,222,2
25574,,Spain,2020/3/5,259,3
25575,,Spain,2020/3/6,400,5
25576,,Spain,2020/3/7,500,10
25577,,Spain,2020/3/8,673,17
25578,,Spain,2020/3/9,1073,28
25579,,Spain,2020/3/10,1695,35
25580,,Spain,2020/3/11,2277,54
25581,,Spain,2020/3/12,2277,55
25582,,Spain,2020/3/13,5232,133
25583,,Spain,2020/3/14,6391,195
25584,,Spain,2020/3/15,7798,289
25585,,Spain,2020/3/16,9942,342
25586,,Spain,2020/3/17,11748,533
25587,,Spain,2020/3/18,13910,623
25588,,Spain,2020/3/19,17963,830
25589,,Spain,2020/3/20,20410,1043
25590,,Spain,2020/3/21,25374,1375
25591,,Spain,2020/3/22,28768,1772
25592,,Spain,2020/3/23,35136,2311
25593,,Spain,2020/3/24,39885,2808
25594,,Spain,2020/3/25,49515,3647
25595,,Spain,2020/3/26,57786,4365
25596,,Spain,2020/3/27,65719,5138
25597,,Spain,2020/3/28,73235,5982
25598,,Spain,2020/3/29,80110,6803
25599,,Spain,2020/3/30,87956,7716
25600,,Spain,2020/3/31,95923,8464
25601,,Spain,2020/4/1,104118,9387
25602,,Spain,2020/4/2,112065,10348
25603,,Spain,2020/4/3,119199,11198
25604,,Spain,2020/4/4,126168,11947
25605,,Spain,2020/4/5,131646,12641
25606,,Spain,2020/4/6,136675,13341
25607,,Spain,2020/4/7,141942,14045
25608,,Spain,2020/4/8,148220,14792
25609,,Spain,2020/4/9,153222,15447
25610,,Spain,2020/4/10,158273,16081
25611,,Spain,2020/4/11,163027,16606
25612,,Spain,2020/4/12,166831,17209
25613,,Spain,2020/4/13,170099,17756
25614,,Spain,2020/4/14,172541,18056
25615,,Spain,2020/4/15,177644,18708
25616,,Spain,2020/4/16,184948,19315
25617,,Spain,2020/4/17,190839,20002
25618,,Spain,2020/4/18,191726,20043
25619,,Spain,2020/4/19,198674,20453
25620,,Spain,2020/4/20,200210,20852
25621,,Spain,2020/4/21,204178,21282
25622,,Spain,2020/4/22,208389,21717
25623,,Spain,2020/4/23,213024,22157
25624,,Spain,2020/4/24,202990,22524
25625,,Spain,2020/4/25,205905,22902
25626,,Spain,2020/4/26,207634,23190
25627,,Spain,2020/4/27,209465,23521
25628,,Spain,2020/4/28,210773,23822
25629,,Spain,2020/4/29,212917,24275
25630,,Spain,2020/4/30,213435,24543
25631,,Spain,2020/5/1,215216,24543
25632,,Spain,2020/5/2,216582,25100
25633,,Spain,2020/5/3,217466,25264
25634,,Spain,2020/5/4,218011,25428
25635,,Spain,2020/5/5,219329,25613
25636,,Spain,2020/5/6,220325,25857
25637,,Spain,2020/5/7,221447,26070
25638,,Spain,2020/5/8,222857,26299
25639,,Spain,2020/5/9,223578,26478
25640,,Spain,2020/5/10,224350,26621
25641,,Spain,2020/5/11,227436,26744
25642,,Spain,2020/5/12,228030,26920
25643,,Spain,2020/5/13,228691,27104
25644,,Spain,2020/5/14,229540,27321
25645,,Spain,2020/5/15,230183,27459
